pair,measured_cm,true_cm,offset_cm,samples
A0-A1,302.0,200.0,102.0,16
A0-A2,519.5,447.0,72.5,16
A0-A3,463.5,400.0,63.5,16
A0-A4,272.5,200.0,72.5,16
A0-A5,252.5,200.0,52.5,32
A0-A6,376.0,283.0,93.0,32
A0-A7,539.0,447.0,92.0,33
A0-A8,345.0,283.0,62.0,32
A0-A9,498.0,447.0,51.0,5
A1-A4,507.0,400.0,107.0,17
A1-A6,260.0,200.0,60.0,16
A1-A7,330.0,283.0,47.0,17
A1-A9,479.0,400.0,79.0,17
A2-A3,261.0,200.0,61.0,66
A2-A4,495.0,400.0,95.0,51
A2-A5,348.0,283.0,65.0,50
A2-A6,562.0,447.0,115.0,50
A2-A7,980.0,632.0,348.0,51
A2-A8,267.0,200.0,67.0,48
A2-A9,636.0,400.0,236.0,51
A3-A4,523.0,447.0,76.0,49
A3-A5,257.0,200.0,57.0,48
A3-A6,368.0,283.0,85.0,48
A3-A7,556.0,447.0,109.0,49
A3-A8,332.0,283.0,49.0,29
A3-A9,322.0,200.0,122.0,22
A4-A5,345.0,283.0,62.0,33
A4-A6,539.0,447.0,92.0,33
A4-A7,741.0,632.0,109.0,34
A4-A8,276.0,200.0,76.0,16
A4-A9,667.0,566.0,101.0,17
A5-A6,302.0,200.0,102.0,32
A5-A7,506.0,400.0,106.0,33
A5-A8,271.0,200.0,71.0,16
A5-A9,364.0,283.0,81.0,17
A6-A7,266.0,200.0,66.0,33
A6-A8,511.0,400.0,111.0,16
A6-A9,250.0,200.0,50.0,17
A7-A8,734.5,600.0,134.5,16
A7-A9,351.0,283.0,68.0,17
