pair,measured_cm,true_cm,offset_cm,samples
A0-A2,543.0,283.0,260.0,16
A0-A3,286.5,200.0,86.5,34
A0-A4,681.0,283.0,398.0,16
A0-A5,382.0,447.0,-65.0,1583
A0-A6,518.5,200.0,318.5,16
A0-A7,382.0,200.0,182.0,16
A0-A8,775.5,447.0,328.5,16
A0-A9,357.5,600.0,-242.5,32
A1-A2,328.0,283.0,45.0,34
A1-A3,562.5,200.0,362.5,16
A1-A4,526.0,283.0,243.0,34
A1-A5,401.0,200.0,201.0,136
A1-A6,682.5,447.0,235.5,16
A1-A7,404.0,447.0,-43.0,16
A1-A8,546.0,200.0,346.0,16
A1-A9,249.5,200.0,49.5,32
A2-A3,482.0,200.0,282.0,36
A2-A4,282.0,400.0,-118.0,36
A2-A5,462.0,200.0,262.0,3031
A2-A6,538.0,200.0,338.0,51
A2-A7,268.0,447.0,-179.0,36
A2-A8,371.0,447.0,-76.0,18
A2-A9,369.0,447.0,-78.0,16
A3-A4,791.5,200.0,591.5,36
A3-A5,466.0,283.0,183.0,3031
A3-A6,293.0,283.0,10.0,51
A3-A7,264.0,283.0,-19.0,36
A3-A9,750.0,400.0,350.0,21
A4-A5,552.0,447.0,105.0,3031
A4-A6,569.0,447.0,122.0,51
A4-A7,362.5,200.0,162.5,36
A4-A8,297.0,200.0,97.0,18
A4-A9,560.0,447.0,113.0,16
A5-A6,490.0,400.0,90.0,3043
A5-A7,266.0,566.0,-300.0,3031
A5-A8,321.0,400.0,-79.0,379
A5-A9,410.0,283.0,127.0,741
A6-A7,362.0,400.0,-38.0,51
A6-A8,111.5,566.0,-454.5,2
A6-A9,574.0,632.0,-58.0,48
A7-A8,276.0,400.0,-124.0,18
A7-A9,294.5,632.0,-337.5,16
