pair,measured_cm,true_cm,offset_cm,samples
A0-A1,477.0,283.0,194.0,13
A0-A2,525.0,200.0,325.0,17
A0-A3,314.0,200.0,114.0,17
A0-A4,657.0,400.0,257.0,17
A0-A5,342.0,447.0,-105.0,33
A0-A6,515.0,447.0,68.0,17
A0-A7,366.0,200.0,166.0,19
A0-A8,544.0,447.0,97.0,100
A0-A9,262.0,283.0,-21.0,35
A1-A2,301.0,447.0,-146.0,15
A1-A3,532.0,200.0,332.0,15
A1-A4,507.0,283.0,224.0,21
A1-A5,296.0,447.0,-151.0,31
A1-A6,668.0,200.0,468.0,15
A1-A7,368.0,200.0,168.0,17
A1-A8,444.5,200.0,244.5,18
A1-A9,260.0,400.0,-140.0,33
A2-A3,468.0,283.0,185.0,34
A2-A4,271.0,447.0,-176.0,33
A2-A5,542.0,400.0,142.0,33
A2-A6,510.0,632.0,-122.0,17
A2-A7,275.0,400.0,-125.0,33
A2-A8,340.0,566.0,-226.0,100
A2-A9,255.0,200.0,55.0,34
A3-A4,523.0,200.0,323.0,33
A3-A5,562.0,283.0,279.0,33
A3-A6,261.0,400.0,-139.0,17
A3-A7,258.0,283.0,-25.0,33
A3-A8,333.0,283.0,50.0,100
A3-A9,369.5,200.0,169.5,20
A4-A5,720.0,200.0,520.0,32
A4-A6,472.0,447.0,25.0,16
A4-A7,345.0,447.0,-102.0,32
A4-A8,276.0,200.0,76.0,99
A4-A9,552.0,283.0,269.0,18
A5-A6,935.0,632.0,303.0,16
A5-A7,504.0,566.0,-62.0,32
A5-A8,798.0,400.0,398.0,83
A5-A9,258.0,200.0,58.0,18
A6-A7,346.0,283.0,63.0,16
A6-A8,245.0,283.0,-38.0,83
A6-A9,549.0,600.0,-51.0,18
A7-A8,267.0,400.0,-133.0,84
A7-A9,547.0,447.0,100.0,19
A8-A9,526.0,447.0,79.0,27
