pair,measured_cm,true_cm,offset_cm,samples
A0-A2,542.5,283.0,259.5,16
A0-A3,289.0,200.0,89.0,32
A0-A4,671.0,283.0,388.0,16
A0-A5,343.0,447.0,-104.0,32
A0-A6,492.0,200.0,292.0,16
A0-A7,371.0,200.0,171.0,19
A0-A8,541.0,447.0,94.0,32
A0-A9,279.0,600.0,-321.0,33
A1-A2,277.0,283.0,-6.0,17
A1-A3,526.0,200.0,326.0,17
A1-A4,484.5,283.0,201.5,34
A1-A5,339.0,200.0,139.0,17
A1-A6,665.0,447.0,218.0,17
A1-A7,351.0,447.0,-96.0,33
A1-A8,504.0,200.0,304.0,25
A1-A9,271.0,200.0,71.0,34
A2-A3,483.0,200.0,283.0,17
A2-A4,270.0,400.0,-130.0,17
A2-A5,550.0,200.0,350.0,16
A2-A6,515.5,200.0,315.5,16
A2-A7,279.0,447.0,-168.0,16
A2-A8,341.5,447.0,-105.5,16
A2-A9,369.0,447.0,-78.0,17
A3-A4,530.0,200.0,330.0,34
A3-A5,543.0,283.0,260.0,33
A3-A6,257.0,283.0,-26.0,33
A3-A7,271.0,283.0,-12.0,33
A3-A8,337.5,283.0,54.5,16
A3-A9,353.0,400.0,-47.0,33
A4-A5,742.0,447.0,295.0,33
A4-A6,475.0,447.0,28.0,33
A4-A7,358.0,200.0,158.0,33
A4-A8,275.0,200.0,75.0,33
A4-A9,562.0,447.0,115.0,17
A5-A6,766.0,400.0,366.0,32
A5-A7,501.5,566.0,-64.5,32
A5-A8,701.0,400.0,301.0,16
A5-A9,256.0,283.0,-27.0,17
A6-A7,350.0,400.0,-50.0,32
A6-A8,290.0,566.0,-276.0,21
A6-A9,539.0,632.0,-93.0,29
A7-A8,268.0,400.0,-132.0,16
A7-A9,292.0,632.0,-340.0,17
