pair,measured_cm,true_cm,offset_cm,samples
A0-A1,303.5,200.0,103.5,32
A0-A2,519.5,447.0,72.5,16
A0-A3,464.0,400.0,64.0,16
A0-A4,272.0,200.0,72.0,18
A0-A5,538.0,447.0,91.0,33
A0-A6,367.0,283.0,84.0,33
A0-A7,257.0,200.0,57.0,80
A0-A8,345.0,283.0,62.0,32
A0-A9,470.0,447.0,23.0,9
A1-A2,666.5,566.0,100.5,16
A1-A3,532.5,447.0,85.5,16
A1-A4,505.0,400.0,105.0,32
A1-A5,334.0,283.0,51.0,33
A1-A6,263.0,200.0,63.0,33
A1-A7,366.0,283.0,83.0,80
A1-A9,481.0,400.0,81.0,33
A2-A3,261.0,200.0,61.0,16
A2-A4,493.0,400.0,93.0,17
A2-A5,731.0,632.0,99.0,17
A2-A6,557.0,447.0,110.0,17
A2-A7,346.0,283.0,63.0,64
A2-A8,267.0,200.0,67.0,16
A2-A9,922.0,400.0,522.0,17
A3-A4,523.0,447.0,76.0,33
A3-A5,563.0,447.0,116.0,33
A3-A6,368.0,283.0,85.0,33
A3-A7,259.0,200.0,59.0,80
A3-A8,334.0,283.0,51.0,29
A3-A9,324.0,200.0,124.0,22
A4-A5,722.0,632.0,90.0,34
A4-A6,538.0,447.0,91.0,34
A4-A7,347.0,283.0,64.0,81
A4-A8,274.0,200.0,74.0,16
A4-A9,670.0,566.0,104.0,17
A5-A6,260.0,200.0,60.0,34
A5-A7,508.0,400.0,108.0,81
A5-A8,760.0,600.0,160.0,16
A5-A9,347.0,283.0,64.0,17
A6-A7,308.0,200.0,108.0,81
A6-A8,512.0,400.0,112.0,16
A6-A9,250.0,200.0,50.0,17
A7-A8,267.0,200.0,67.0,16
A7-A9,372.0,283.0,89.0,17
