Point,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9
A0,0.0,2.0,4.47,4.0,2.0,4.47,2.83,2.0,2.83,4.47
A1,2.0,0.0,5.66,4.47,4.0,2.83,2.0,2.83,4.47,4.0
A2,4.47,5.66,0.0,2.0,4.0,6.32,4.47,2.83,2.0,4.0
A3,4.0,4.47,2.0,0.0,4.47,4.47,2.83,2.0,2.83,2.0
A4,2.0,4.0,4.0,4.47,0.0,6.32,4.47,2.83,2.0,5.66
A5,4.47,2.83,6.32,4.47,6.32,0.0,2.0,4.0,6.0,2.83
A6,2.83,2.0,4.47,2.83,4.47,2.0,0.0,2.0,4.0,2.0
A7,2.0,2.83,2.83,2.0,2.83,4.0,2.0,0.0,2.0,2.83
A8,2.83,4.47,2.0,2.83,2.0,6.0,4.0,2.0,0.0,4.47
A9,4.47,4.0,4.0,2.0,5.66,2.83,2.0,2.83,4.47,0.0
